,precision,recall,f1-score,support
-1.0,0.49156095835718533,0.9998739181061016,0.6590954646120452,134833.0
1.0,0.8874172185430463,0.0009600298039103304,0.0019179846847491592,139579.0
accuracy,0.4917787851843214,0.4917787851843214,0.4917787851843214,0.4917787851843214
macro avg,0.6894890884501158,0.500416973955006,0.33050672464839714,274412.0
weighted avg,0.6929122875282213,0.4917787851843214,0.32482372915305635,274412.0
